"key" "fi" "sv"
"purku.rakennuksenOmistajat.henkilo.yhteystiedot._group_label" "Yhteystiedot" "Kontaktuppgifter"
"purku.rakennuksenOmistajat.henkilo.yhteystiedot.email" "Sähköposti" "E-post"
"purku.rakennuksenOmistajat.henkilo.yhteystiedot.fax" "Faksinumero" "Fax"
"purku.rakennuksenOmistajat.henkilo.yhteystiedot.puhelin" "Puhelin" "Telefon"
"purku.rakennuksenOmistajat.muu-omistajalaji" "Muu omistajalaji" "Annan ägartyp"
"purku.rakennuksenOmistajat.omistajalaji._group_label" "Omistajalaji" "Ägartyp"
"purku.rakennuksenOmistajat.omistajalaji.asunto-oy tai asunto-osuuskunta" "asunto-oy tai asunto-osuuskunta" "bostadsaktiebolag eller bostadsandelslag"
"purku.rakennuksenOmistajat.omistajalaji.ei tiedossa" "ei tiedossa" "inte känt"
"purku.rakennuksenOmistajat.omistajalaji.kiinteistö oy" "kiinteistö oy" "fastighetsaktiebolag"
"purku.rakennuksenOmistajat.omistajalaji.kunnan liikelaitos" "kunnan liikelaitos" "kommunalt affärsverk"
"purku.rakennuksenOmistajat.omistajalaji.kunta tai kuntainliitto" "kunta tai kuntainliitto" "kommun eller kommunalförbund"
"purku.rakennuksenOmistajat.omistajalaji.muu yksityinen henkilö tai perikunta" "Yksityinen henkilö tai perikunta" "Privatperson eller arvingar"
"purku.rakennuksenOmistajat.omistajalaji.pankki tai vakuutuslaitos" "pankki tai vakuutuslaitos" "bank eller försäkringsanstalt"
"purku.rakennuksenOmistajat.omistajalaji.sosiaaliturvarahasto" "sosiaaliturvarahasto" "socialskyddsfond"
"purku.rakennuksenOmistajat.omistajalaji.uskonnollinen yhteisö, säätiö, puolue tai yhdistys" "uskonnollinen yhteisö, säätiö, puolue tai yhdistys" "religionssamfund, stiftelse, parti eller förening"
"purku.rakennuksenOmistajat.omistajalaji.valtio" "valtio" "staten"
"purku.rakennuksenOmistajat.omistajalaji.valtio- tai kuntaenemmistöinen yritys" "valtio- tai kuntaenemmistöinen yritys" "företag med statlig eller kommunal majoritet"
"purku.rakennuksenOmistajat.omistajalaji.valtion liikelaitos" "valtion liikelaitos" "statligt affärsverk"
"purku.rakennuksenOmistajat.omistajalaji.yksityinen maatalousyrittäjä" "yksityinen maatalousyrittäjä" "enskild lantbruksföretagare"
"purku.rakennuksenOmistajat.omistajalaji.yksityinen yritys (osake-, avoin- tai kommandiittiyhtiö, osuuskunta)" "yksityinen yritys (osake-, avoin- tai kommandiittiyhtiö, osuuskunta)" "privat företag (aktiebolag, öppet bolag eller kommanditbolag, andelslag)"
"purku.rakennuksenOmistajat.yritys._group_label" "Yritys/yhteisö" "Företag/sammanslutning"
"purku.rakennuksenOmistajat.yritys.liikeJaYhteisoTunnus" "Y-tunnus" "FO-nummer"
"purku.rakennuksenOmistajat.yritys.liikeJaYhteisoTunnus.help" "Yritys- ja yhteisötunnuksessa on seitsemän numeroa, väliviiva ja tarkistusmerkki. Y-tunnuksen tulee olla muotoa 1234567-8." "Företags- och organisationsnumret består av sju siffror, ett mellanstreck och en kontrollsiffra. FO-nummern bör ha formen 1234567-8."
"purku.rakennuksenOmistajat.yritys.osoite._group_label" "Yhteysosoite" "Kontaktadress"
"purku.rakennuksenOmistajat.yritys.osoite.katu" "Katuosoite" "Gatuadress"
"purku.rakennuksenOmistajat.yritys.osoite.postinumero" "Postinumero" "Postnummer"
"purku.rakennuksenOmistajat.yritys.osoite.postitoimipaikannimi" "Postitoimipaikka" "Postanstalt"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo._group_label" "Yrityksen yhteyshenkilö" "Kontaktperson i företaget"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.henkilotiedot._group_label" "Henkilötiedot" "Personuppgifter"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.henkilotiedot.etunimi" "Etunimi" "Förnamn"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.henkilotiedot.hetu" "Henkilötunnus" "Personbeteckning"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.henkilotiedot.hetu.help" "Syötä tähän kenttään henkilötunnus kokonaisuudessaan. Henkilötunnuksen kirjoittaja näkee henkilötunnuksen kokonaisuudessaan lisäämisen yhteydessä, mutta siitä eteenpäin käyttäjät näkevät Lupapisteessä tunnuksen loppuosan ****-merkkijonona." "Ange personbeteckningen i sin helhet i detta fält. När personbeteckningen matas in kan beteckningen ses i sin helhet av den som matar in den. I fortsättningen ser användarna i Lupapiste en personbeteckning där slutdelen ersatts av teckensträngen ****."
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.henkilotiedot.sukunimi" "Sukunimi" "Efternamn"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.henkilotiedot.turvakieltoKytkin" "Henkilöllä on voimassa oleva turvakielto" "Personen har giltig Spärrmarkering"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.yhteystiedot._group_label" "Yhteystiedot" "Kontaktuppgifter"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.yhteystiedot.email" "Sähköposti" "E-post"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.yhteystiedot.fax" "Faksinumero" "Fax"
"purku.rakennuksenOmistajat.yritys.yhteyshenkilo.yhteystiedot.puhelin" "Puhelin" "Telefon"
"purku.rakennuksenOmistajat.yritys.yritysnimi" "Nimi" "Namn"
"purku.rinnakkaisosoite._group_label" "Rakennuksen toinen lähisoite" "Byggnadens andra näradress"
"purku.rinnakkaisosoite.huoneisto" "Huoneiston numero" "Lägenhetsnummer"
"purku.rinnakkaisosoite.jakokirjain" "Jakokirjain" "Delningsbokstav"
"purku.rinnakkaisosoite.jakokirjain2" "Toinen jakokirjain (tarvittaessa)" "Andra delningsbokstaven (vid behov)"
"purku.rinnakkaisosoite.kunta" "Kunta" "Kommun"
"purku.rinnakkaisosoite.lahiosoite" "Katu" "Gata"
"purku.rinnakkaisosoite.osoitenumero" "Osoitenumero" "Adressnummer"
"purku.rinnakkaisosoite.osoitenumero2" "Toinen osoitenumero (tarvittaessa)" "Andra adressnumret (vid behov)"
"purku.rinnakkaisosoite.pistesijanti" "Pistesijainti" "Punktläge"
"purku.rinnakkaisosoite.porras" "Porras" "Trappa"
"purku.rinnakkaisosoite.postinumero" "Postinumero" "Postnummer"
"purku.rinnakkaisosoite.postitoimipaikannimi" "Postitoimipaikka" "Postanstalt"
"purku.varusteet._group_label" "Varusteet" "Utrustning"
"purku.varusteet.aurinkopaneeliKytkin" "Aurinkopaneeli" "Solpanel"
"purku.varusteet.hissiKytkin" "Hissi" "Hiss"
"purku.varusteet.kaasuKytkin" "Kaasu" "Gas"
"purku.varusteet.kaasuKytkin.help" "Kaasulla tarkoitetaan myös nestekaasua, mikäli rakennus on tätä varten varustettu pysyvällä verkolla." "Med gas avses också flytgas i fall byggnaden för detta ändamål är försedd med varaktigt nät."
"purku.varusteet.koneellinenilmastointiKytkin" "Koneellinen ilmastointi" "Maskinell luftkonditionering"
"purku.varusteet.lamminvesiKytkin" "Lämminvesi" "Varmvatten"
"purku.varusteet.liitettyJatevesijarjestelmaanKytkin" "Kiinteistö on liitetty erilliseen jätevesijärjestelmään" "Fastigheten ansluts till enskild avloppsanläggning"
"purku.varusteet.sahkoKytkin" "Sähkö" "El"
"purku.varusteet.saunoja" "Talokohtaisia saunoja" "Husspecifika bastur"
"purku.varusteet.vaestonsuoja" "Väestönsuoja" "Skyddsrum för"
"purku.varusteet.vesijohtoKytkin" "Vesijohto" "Vattenledning"
"purku.varusteet.viemariKytkin" "Jätevesi, viemäri" "Avlopp"
"purku.verkostoliittymat._group_label" "Liittymät verkostoihin" "Nätanslutningar"
"purku.verkostoliittymat.kaapeliKytkin" "Kaapeli" "Kabel"
"purku.verkostoliittymat.maakaasuKytkin" "Maakaasu" "Naturgas"
"purku.verkostoliittymat.sahkoKytkin" "Sähkö" "El"
"purku.verkostoliittymat.vesijohtoKytkin" "Vesijohto" "Vattenledning"
"purku.verkostoliittymat.viemariKytkin" "Jätevesi / Viemäri" "Avlopp"
"rakennuksen-laajentaminen._group_label" "Laajennettava rakennus" "Byggnad som ska byggas ut"
"rakennuksen-laajentaminen.huoneistot._append_label" "+ Lisää huoneisto" "+ Lägg till lägenhet"
"rakennuksen-laajentaminen.huoneistot.huoneistonTyyppi.huoneistoala.help" "Huoneistoala on ala, jota rajaavat toisaalta huoneistoa ympäröivien seinien, toisaalta huoneiston sisällä olevien kantavien ja  muiden koko rakennukselle välttämättömien rakennusosien huoneiston puoleiset pinnat." "Lägenhetsytan är den yta som begränsas dels av väggarna kring lägenheten, dels av de ytor som vetter mot lägenheten på bärande och andra för hela byggnaden nödvändiga byggnadsdelar."
"rakennuksen-laajentaminen.huoneistot.osoite._group_label" "Osoite" "Adress"
"rakennuksen-laajentaminen.huoneistot.osoite.huoneisto" "Huoneiston numero" "Lägenhetsnummer"
"rakennuksen-laajentaminen.huoneistot.osoite.jakokirjain" "Jakokirjain" "Delningsbokstav"
"rakennuksen-laajentaminen.huoneistot.osoite.jakokirjain2" "Toinen jakokirjain (tarvittaessa)" "Andra delningsbokstaven (vid behov)"
"rakennuksen-laajentaminen.huoneistot.osoite.kunta" "Kunta" "Kommun"
"rakennuksen-laajentaminen.huoneistot.osoite.lahiosoite" "Katu" "Gata"
"rakennuksen-laajentaminen.huoneistot.osoite.osoitenumero" "Osoitenumero" "Adressnummer"
"rakennuksen-laajentaminen.huoneistot.osoite.osoitenumero2" "Toinen osoitenumero (tarvittaessa)" "Andra adressnumret (vid behov)"
"rakennuksen-laajentaminen.huoneistot.osoite.pistesijanti" "Pistesijainti" "Punktläge"
"rakennuksen-laajentaminen.huoneistot.osoite.porras" "Porras" "Trappa"
"rakennuksen-laajentaminen.huoneistot.osoite.postinumero" "Postinumero" "Postnummer"
"rakennuksen-laajentaminen.huoneistot.osoite.postitoimipaikannimi" "Postitoimipaikka" "Postanstalt"
"rakennuksen-laajentaminen.kaytto._group_label" "Rakennuksen käyttötarkoitus" "Byggnadens användningsändamål"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus._group_label" "Rakennuksen pääasiallinen käyttötarkoitus" "Byggnadens huvudsakliga användningsändamål"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.011 yhden asunnon talot" "011 yhden asunnon talot" "011 hus med en bostad"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.012 kahden asunnon talot" "012 kahden asunnon talot" "012 hus med två bostäder"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.013 muut erilliset talot" "013 muut erilliset talot" "013 övriga fristående småhus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.021 rivitalot" "021 rivitalot" "021 radhus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.022 ketjutalot" "022 ketjutalot" "022 kedjehus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.032 luhtitalot" "032 luhtitalot" "032 loftgångshus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.039 muut asuinkerrostalot" "039 muut asuinkerrostalot" "039 övriga flervåningsbostadshus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.041 vapaa-ajan asuinrakennukset" "041 vapaa-ajan asuinrakennukset" "041 fritidsbostadshus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.111 myymälähallit" "111 myymälähallit" "111 butikshallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.112 liike- ja tavaratalot, kauppakeskukset" "112 liike- ja tavaratalot, kauppakeskukset" "112 affärs- och varuhus, handelscentra"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.119 muut myymälärakennukset" "119 muut myymälärakennukset" "119 övriga butiksbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.121 hotellit yms" "121 hotellit yms." "121 hotell o.dyl."
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.123 loma-, lepo- ja virkistyskodit" "123 loma-, lepo- ja virkistyskodit" "123 semester-, vilo- och rekreationshem"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.124 vuokrattavat lomamökit ja -osakkeet" "124 vuokrattavat lomamökit ja -osakkeet" "124 semesterstugor och -aktier som hyrs ut"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.129 muut majoitusliikerakennukset" "129 muut majoitusliikerakennukset" "129 övriga byggnader för inkvarteringsanläggningar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.131 asuntolat yms" "131 asuntolat yms." "131 kollektivbostäder o.dyl."
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.139 muut asuntolarakennukset" "139 muut asuntolarakennukset" "139 övriga kollektivbostadsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.141 ravintolat yms" "141 ravintolat yms." "141 restauranger o.dyl."
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.151 toimistorakennukset" "151 toimistorakennukset" "151 kontorsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.161 rautatie- ja linja-autoasemat, lento- ja satamaterminaalit" "161 rautatie- ja linja-autoasemat, lento- ja satamaterminaalit" "161 järnvägs- och busstationer, flyg- och hamnterminaler"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.162 kulkuneuvojen suoja- ja huoltorakennukset" "162 kulkuneuvojen suoja- ja huoltorakennukset" "162 garage och servicebyggnader för fordon"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.163 pysäköintitalot" "163 pysäköintitalot" "163 parkeringshus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.164 tietoliikenteen rakennukset" "164 tietoliikenteen rakennukset" "164 telekommunikationsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.169 muut liikenteen rakennukset" "169 muut liikenteen rakennukset" "169 övriga trafikbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.211 keskussairaalat" "211 keskussairaalat" "211 centralsjukhus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.213 muut sairaalat" "213 muut sairaalat" "213 övriga sjukhus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.214 terveyskeskukset" "214 terveyskeskukset" "214 hälso(vårds)centraler"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.215 terveydenhuollon erityislaitokset" "215 terveydenhuollon erityislaitokset" "215 specialbyggnader inom hälsovård"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.219 muut terveydenhuoltorakennukset" "219 muut terveydenhuoltorakennukset" "219 övriga hälsovårdsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.221 vanhainkodit" "221 vanhainkodit" "221 ålderdomshem"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.222 lasten- ja koulukodit" "222 lasten- ja koulukodit" "222 barnhem och skolhem"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.223 kehitysvammaisten hoitolaitokset" "223 kehitysvammaisten hoitolaitokset" "223 vårdanstalter för utvecklingsstörda"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.229 muut huoltolaitosrakennukset" "229 muut huoltolaitosrakennukset" "229 övriga vårdanstaltsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.231 lasten päiväkodit" "231 lasten päiväkodit" "231 barndaghem"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.239 muualla luokittelemattomat sosiaalitoimen rakennukset" "239 muualla luokittelemattomat sosiaalitoimen rakennukset" "239 byggnader inom socialväsendet som inte klassificerats annorstädes"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.241 vankilat" "241 vankilat" "241 fängelser"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.311 teatterit, ooppera-, konsertti- ja kongressitalot" "311 teatterit, ooppera-, konsertti- ja kongressitalot" "311 teatrar, opera-, konsert- och kongresshus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.312 elokuvateatterit" "312 elokuvateatterit" "312 biografer"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.322 kirjastot ja arkistot" "322 kirjastot ja arkistot" "322 bibliotek och arkiv"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.323 museot ja taidegalleriat" "323 museot ja taidegalleriat" "323 museer och konstgallerier"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.324 näyttelyhallit" "324 näyttelyhallit" "324 utställningshallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.331 seura- ja kerhorakennukset yms" "331 seura- ja kerhorakennukset yms." "331 förenings- och klubblokalsbyggnader o.dyl."
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.341 kirkot, kappelit, luostarit ja rukoushuoneet" "341 kirkot, kappelit, luostarit ja rukoushuoneet" "341 kyrkor, kapell, kloster och bönehus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.342 seurakuntatalot" "342 seurakuntatalot" "342 församlingshus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.349 muut uskonnollisten yhteisöjen rakennukset" "349 muut uskonnollisten yhteisöjen rakennukset" "349 övriga byggnader för religiösa samfund"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.351 jäähallit" "351 jäähallit" "351 ishallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.352 uimahallit" "352 uimahallit" "352 simhallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.353 tennis-, squash- ja sulkapallohallit" "353 tennis-, squash- ja sulkapallohallit" "353 tennis-, squash- och badmintonhallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.354 monitoimihallit ja muut urheiluhallit" "354 monitoimihallit ja muut urheiluhallit" "354 allaktivitetshallar och övriga idrottshallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.359 muut urheilu- ja kuntoilurakennukset" "359 muut urheilu- ja kuntoilurakennukset" "359 övriga idrotts- och motionsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.369 muut kokoontumisrakennukset" "369 muut kokoontumisrakennukset" "369 övriga byggnader för samlingslokaler"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.511 yleissivistävien oppilaitosten rakennukset" "511 yleissivistävien oppilaitosten rakennukset" "511 byggnader för allmänbildande läroanstalter"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.521 ammatillisten oppilaitosten rakennukset" "521 ammatillisten oppilaitosten rakennukset" "521 byggnader för yrkesläroanstalter"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.531 korkeakoulurakennukset" "531 korkeakoulurakennukset" "531 högskolebyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.532 tutkimuslaitosrakennukset" "532 tutkimuslaitosrakennukset" "532 forskningsanstaltsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.541 järjestöjen, liittojen, työnantajien yms opetusrakennukset" "541 järjestöjen, liittojen, työnantajien yms. opetusrakennukset" "541 organisationers, förbunds, arbetsgivares o.dyl. undervisningsbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.549 muualla luokittelemattomat opetusrakennukset" "549 muualla luokittelemattomat opetusrakennukset" "549 undervisningsbyggnader som inte klassificerats annorstädes"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.611 voimalaitosrakennukset" "611 voimalaitosrakennukset" "611 kraftverksbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.613 yhdyskuntatekniikan rakennukset" "613 yhdyskuntatekniikan rakennukset" "613 byggnader för samhällsteknik"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.691 teollisuushallit" "691 teollisuushallit" "691 industrihallar"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.692 teollisuus- ja pienteollisuustalot" "692 teollisuus- ja pienteollisuustalot" "692 industri- och småindustrihus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.699 muut teollisuuden tuotantorakennukset" "699 muut teollisuuden tuotantorakennukset" "699 övriga produktionsbyggnader inom industrin"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.711 teollisuusvarastot" "711 teollisuusvarastot" "711 industrilager"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.712 kauppavarastot" "712 kauppavarastot" "712 handelslager"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.719 muut varastorakennukset" "719 muut varastorakennukset" "719 övriga lagerbyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.721 paloasemat" "721 paloasemat" "721 brandstationer"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.722 väestönsuojat" "722 väestönsuojat" "722 skyddsrum"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.729 muut palo- ja pelastustoimen rakennukset" "729 muut palo- ja pelastustoimen rakennukset" "729 övriga byggnader för brand- och räddningsväsendet"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.811 navetat, sikalat, kanalat yms" "811 navetat, sikalat, kanalat yms." "811 ladugårdar, svinhus, hönsgårdar o.dyl."
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.819 eläinsuojat, ravihevostallit, maneesit yms" "819 eläinsuojat, ravihevostallit, maneesit yms." "819 djurstall, stall för travhästar, maneger o.dyl."
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.891 viljankuivaamot ja viljan säilytysrakennukset" "891 viljankuivaamot ja viljan säilytysrakennukset" "891 spannmålstorkar och byggnader för uppbevaring av spannmål"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.892 kasvihuoneet" "892 kasvihuoneet" "892 växthus"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.893 turkistarhat" "893 turkistarhat" "893 pälsdjursfarmer"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.899 muut maa-, metsä- ja kalatalouden rakennukset" "899 muut maa-, metsä- ja kalatalouden rakennukset" "899 övriga byggnader för jordbruk, skogsbruk och fiske"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.931 saunarakennukset" "931 saunarakennukset" "931 bastubyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.941 talousrakennukset" "941 talousrakennukset" "941 ekonomibyggnader"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.999 muualla luokittelemattomat rakennukset" "999 muualla luokittelemattomat rakennukset" "999 byggnader som inte klassificerats annorstädes"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.ei tiedossa" "ei tiedossa" "inte känt"
"rakennuksen-laajentaminen.kaytto.kayttotarkoitus.help" "Rakennuksen pääasiallinen käyttötarkoitus ilmoitetaan sen  mukaan, mihin suurinta osaa rakennuksen kerrosalasta käytetään.  Asuinrakennuksiksi katsotaan kuitenkin sellaiset rakennukset, joiden  kerrosalasta vähintään puolet on asuinhuoneistoalaa. Laajennuksessa ilmoitetaan koko rakennuksen käyttötarkoitus, eikä  vain laajennusosan." "Byggnadens huvudsakliga användningssyfte anges enligt det syfte för vilket största delen av byggnadens våningsyta används. Som bostadsbyggnad anses dock sådana byggnader av vilkas våningsyta minst hälften är bostadslägenhetsyta. Också vid tillbyggnad anges hela byggnadens användningssyfte, inte bara den tillbyggda delens."
"rakennuksen-laajentaminen.kaytto.rakentajaTyyppi._group_label" "Rakennuksen pääasiallinen rakentaja" "Byggnadens huvudsakliga byggare"
"rakennuksen-laajentaminen.kaytto.rakentajaTyyppi.ei tiedossa" "Ei tiedossa" "Inte känt"
"rakennuksen-laajentaminen.kaytto.rakentajaTyyppi.help" "Liiketaloudellinen rakentaminen merkitään rakentajaksi silloin, kun suurin osa rakentamistyöstä teetetään ulkopuolisella rakentajalla kuten esim. työkunta, kirvesmiesryhmä, urakoitsija. Muu rakentaminen merkitään rakentajaksi silloin, kun suurin osa rakentamistyöstä tehdään omatoimisesti." "Affärsekonomiskt byggande anges som byggare när största delen av byggarbetet utförs av utomstående byggare, t.ex. arbetslag, timmermansgrupp eller entreprenör. Annat slags byggande antecknas som byggare i de fall när största delen av byggarbetet utförs på egen hand."
"rakennuksen-laajentaminen.kaytto.rakentajaTyyppi.liiketaloudellinen" "Liiketaloudellinen rakentaminen" "Affärsekonomiskt byggande"
"rakennuksen-laajentaminen.kaytto.rakentajaTyyppi.muu" "Muu rakentaminen" "Övrigt byggande"
"rakennuksen-laajentaminen.laajennuksen-tiedot._group_label" "Laajennuksen tiedot" "Uppgifter om utbyggnaden"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat._group_label" "Laajennuksen mitat" "Utbyggnadens dimensioner"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala._append_label" "+ Lisää muuta huoneistoalaa" "+ Lägg till övrig lägenhetsyta"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala._group_label" "Huoneistoala" "Lägenhetens yta"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi._group_label" "Käyttötarkoitus" "Användningsändamål"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.asuntotilaa(ei vapaa-ajan asunnoista)" "Asuntotilaa (ei vapaa-ajan asunto)" "Bostadslägenhet (ej fritidsbostad)"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.ei tiedossa" "Ei tiedossa" "Inte känt"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.hoitotilaa" "Hoitotilaa" "Vårdutrymme"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.kokoontumistilaa" "Kokoontumistilaa" "Samlingslokal"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.muuta huoneistoalaan kuuluvaa tilaa" "Muuta huoneistoalaan kuuluvaa tilaa" "Annat utrymme som hör till lägenhetsytan"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.myymälä, majoitus- ja ravitsemustilaa" "Myymälä, majoitus- ja ravitsemustilaa" "Butik, kost- och logiutrymme"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.opetustilaa" "Opetustilaa" "Undervisningsutrymme"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.toimisto- ja hallintotilaa" "Toimisto- ja hallintotilaa" "Kontors- och administrativt utrymme"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.tuotantotilaa(teollisuus)" "Tuotantotilaa (teollisuus)" "Produktionsutrymme (industri)"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.kayttotarkoitusKoodi.varastotilaa" "Varastotilaa" "Lagerutrymme"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.huoneistoala.pintaAla" "Pinta-ala" "Yta"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.kerrosala" "Kerrosala" "Våningsyta"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.kokonaisala" "Kokonaisala" "Totalyta"
"rakennuksen-laajentaminen.laajennuksen-tiedot.mitat.tilavuus" "Tilavuus" "Volym"
"rakennuksen-laajentaminen.laajennuksen-tiedot.perusparannuskytkin" "Perusparannusluonteinen muutostyö" "Ändringsarbeten av ombyggnadsnatur"
"rakennuksen-laajentaminen.lammitys._group_label" "Lämmitys" "Uppvärmning"
"rakennuksen-laajentaminen.lammitys.lammitystapa._group_label" "Pääasiallinen lämmitystapa" "Huvudsakligt uppvärmningssätt"
